Round,Stimuli,Answer,Correct,Stimulus Time,Response Time
0,I,None,,1000.427,0
0,C,None,,3002.045,0
0,S,N,C,5003.54,5618.469
0,C,Y,C,7004.395,7809.753
0,G,N,C,9006.562,9800.721
0,J,Y,X,11007.51,12007.48
0,G,N,X,13009.8,13549.87
0,O,Y,X,15010.68,15618.35
0,Z,N,C,17011.75,17517.82
0,P,N,C,19012.88,19655.09
1,F,None,,23013.46,0
1,C,None,,24014.68,0
1,I,N,C,25015.04,25339.96
1,C,N,X,26016.17,26350.01
1,I,N,X,27016.94,27462.25
1,C,Y,C,28017.76,28261.2
1,E,N,C,29019.29,29356.81
1,C,Y,C,30020.66,30274.72
1,K,N,C,31021.36,31359.01
1,G,Y,X,32021.79,32321.35
