Round,Trial,Stimuli,Correct Sum,Selected Sum,Points,Response Time,Time Log
0,0,11,0,0,0,0,0
0,1,9,20,0,0,0,3000.259
0,2,1,10,0,0,0,6002.068
0,3,13,14,14,1,2252.025,9003.387
0,4,3,16,16,2,1418.511,12003.39
0,5,11,14,14,3,1366.791,15004.23
1,0,1,0,0,0,0,0
1,1,13,14,0,0,0,2003.763
1,2,7,20,20,1,1792.126,4005.27
1,3,8,15,15,2,1758.293,6006.567
1,4,7,15,15,3,940.0062,8007.78
1,5,2,9,9,4,1621.784,10008.03
1,6,8,10,10,5,1254.215,12009.83
1,7,9,17,17,6,1270.111,14010.77
1,8,10,19,19,7,1786.362,16011.24
